Entity,Year,Gold_true,Gold_trend,Gold_trend_std,Total_true,Total_trend,Total_trend_std,Split
Kenya,1980,0.0,1.6354065656661987,0.12256720819381066,0.0,5.551405811309815,0.7528466145495875,train
Kenya,1984,1.0,0.9720009565353394,0.11849979145484585,3.0,3.4150511741638185,0.7557572863362123,train
Kenya,1988,5.0,0.885322380065918,0.18787082526475812,9.0,3.1152231216430666,1.028248767706377,train
Kenya,1992,2.0,2.088372755050659,0.28678742439780347,8.0,6.901214599609375,1.498077157214191,train
Kenya,1996,1.0,2.4479720115661623,0.16530597520829135,8.0,8.051278495788575,1.2164926538987502,train
Kenya,2000,2.0,2.4586164951324463,0.14822880743750608,7.0,8.11175889968872,1.0042096672957201,train
Kenya,2004,1.0,2.1319475889205934,0.21164632507724565,7.0,7.1015650749206545,1.2583436875706917,train
Kenya,2008,6.0,1.9416720628738404,0.21485226926164253,16.0,6.516980266571045,1.2332242741047867,train
Kenya,2012,2.0,3.439894676208496,0.33661133569322377,13.0,11.05922565460205,1.7901043486394952,train
Kenya,2016,6.0,3.563918924331665,0.23536178722071752,13.0,11.478303527832031,1.525852771108682,train
Kenya,2020,4.0,4.593822860717774,0.27400740977016835,10.0,14.445805549621582,1.207398242889842,val
Kenya,2024,4.0,3.9343758106231688,0.20698764947339,11.0,12.539690589904785,1.2800426728264898,val
Latvia,1964,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Latvia,1968,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Latvia,1972,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Latvia,1976,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Latvia,1980,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Latvia,1984,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
